op,in_shapes,out_shape,H,D,NH,NKV,T,Tk,I,V,M,K,N,backend,device,avg_ms
CPY,"src{1024,4,1,1}","{1024,4,1,1}",1024,,,,4,,,,,,,cpu-ggml,host,0.010
CPY,"src{1024,64,1,1}","{1024,64,1,1}",1024,,,,64,,,,,,,cpu-ggml,host,0.104
CPY,"src{1024,256,1,1}","{1024,256,1,1}",1024,,,,256,,,,,,,cpu-ggml,host,0.501
CPY,"src{1024,1024,1,1}","{1024,1024,1,1}",1024,,,,1024,,,,,,,cpu-ggml,host,2.645
CPY,"src{2048,4,1,1}","{2048,4,1,1}",2048,,,,4,,,,,,,cpu-ggml,host,0.011
CPY,"src{2048,64,1,1}","{2048,64,1,1}",2048,,,,64,,,,,,,cpu-ggml,host,0.309
CPY,"src{2048,256,1,1}","{2048,256,1,1}",2048,,,,256,,,,,,,cpu-ggml,host,0.757
CPY,"src{2048,1024,1,1}","{2048,1024,1,1}",2048,,,,1024,,,,,,,cpu-ggml,host,4.138
CPY,"src{4096,4,1,1}","{4096,4,1,1}",4096,,,,4,,,,,,,cpu-ggml,host,0.032
CPY,"src{4096,64,1,1}","{4096,64,1,1}",4096,,,,64,,,,,,,cpu-ggml,host,0.589
CPY,"src{4096,256,1,1}","{4096,256,1,1}",4096,,,,256,,,,,,,cpu-ggml,host,1.105
CPY,"src{4096,1024,1,1}","{4096,1024,1,1}",4096,,,,1024,,,,,,,cpu-ggml,host,5.975
