case,in,out,mid_dim,type,n_cols,fused_median_ms,two_mul_mat_median_ms,speedup_vs_two_mul_mat,fused_avg_ms,two_mul_mat_avg_ms,max_abs_diff,case_label
square_512,512,512,512,f32,1,0.039577,0.177924,4.49559,0.13109,0.211458,0.0,"512→512
K=512"
square_1024,1024,1024,1024,f32,1,0.062369,0.158444,2.540421,0.078653,0.157813,0.0,"1024→1024
K=1024"
square_1536,1536,1536,1536,f32,1,0.132781,0.135812,1.022825,0.137926,0.138046,0.0,"1536→1536
K=1536"
qwen_ffn_up_gate_full,1536,8960,1536,f32,1,0.916568,1.074027,1.171792,0.918271,1.077631,0.0,"1536→8960
K=1536"
qwen_ffn_down_full,8960,1536,1536,f32,1,0.947725,0.963664,1.016818,0.948024,0.966312,0.0,"8960→1536
K=1536"
square_512,512,512,512,f16,1,0.035041,0.032792,0.935825,0.037863,0.064632,0.0,"512→512
K=512"
square_1024,1024,1024,1024,f16,1,0.057107,0.082978,1.453032,0.05901,0.228397,0.0,"1024→1024
K=1024"
square_1536,1536,1536,1536,f16,1,0.095483,0.204986,2.146832,0.098468,0.238592,0.0,"1536→1536
K=1536"
qwen_ffn_up_gate_full,1536,8960,1536,f16,1,0.36604,0.494398,1.350666,0.36826,0.518572,0.0,"1536→8960
K=1536"
qwen_ffn_down_full,8960,1536,1536,f16,1,0.352014,0.419523,1.191781,0.353832,0.435288,0.0,"8960→1536
K=1536"
square_512,512,512,512,q4_0,1,0.041617,0.027007,0.648938,0.039581,0.028653,0.0,"512→512
K=512"
square_1024,1024,1024,1024,q4_0,1,0.055103,0.066606,1.20874,0.056059,0.096636,0.0,"1024→1024
K=1024"
square_1536,1536,1536,1536,q4_0,1,0.075644,0.121518,1.606437,0.083335,0.155459,0.0,"1536→1536
K=1536"
qwen_ffn_up_gate_full,1536,8960,1536,q4_0,1,0.236258,0.266596,1.128412,0.237679,0.314681,0.0,"1536→8960
K=1536"
qwen_ffn_down_full,8960,1536,1536,q4_0,1,0.238564,0.307354,1.288353,0.240538,0.340492,0.0,"8960→1536
K=1536"
