cpus,n_cpus,load_pct,measured_ms,predicted_ms,relative_error,missing_single_cpus
"60,61",2,0,84.9766,77.7204525643706,0.08538994776949656,
"60,61,62,63",4,0,56.8453,38.91974363641535,0.31533928686425533,
"60,61,62,63,64,65",6,0,37.1979,25.901565991425066,0.30368203604437166,
"60,61,62,63,64,65,66,67",8,0,32.0358,19.52900111166019,0.39040070447249053,
"60,62",2,0,83.4701,77.58548338558398,0.07049969527310998,
"61,63",2,0,83.3467,78.09515976838945,0.06300837623577836,
"60,61",2,10,87.2938,78.71344240859314,0.09829286377047242,
"60,61,62,63",4,10,47.9123,39.84664376909677,0.16834207981881957,
"60,61,62,63,64,65",6,10,36.816,26.53690884292188,0.2792017372087713,
"60,61,62,63,64,65,66,67",8,10,35.3874,19.805522764958187,0.440322748634876,
"60,62",2,10,88.6401,79.59695396201765,0.10202093677672242,
"61,63",2,10,84.157,79.7898545756394,0.051892836298354277,
"60,61",2,20,80.818,80.423930800859,0.0048760078094112775,
"60,61,62,63",4,20,47.8114,40.35292367796368,0.15599786498693446,
"60,61,62,63,64,65",6,20,36.4969,27.139719273891576,0.25638289076903575,
"60,61,62,63,64,65,66,67",8,20,40.4118,20.2800851675486,0.4981642696551849,
"60,62",2,20,84.943,81.3205123537061,0.04264609969384047,
"61,63",2,20,83.7914,80.10040460118773,0.04404981178035291,
"60,61",2,30,85.8965,80.12842748277336,0.06715142662654057,
"60,61,62,63",4,30,47.6756,40.100728729102144,0.15888360651775454,
"60,61,62,63,64,65",6,30,36.5985,26.766156339211893,0.2686542798417451,
"60,61,62,63,64,65,66,67",8,30,69.6333,20.004365235502853,0.7127184086420886,
"60,62",2,30,87.6059,79.71867067836101,0.09003080068396076,
"61,63",2,30,87.7659,80.69012750869018,0.08062097570138083,
"60,61",2,40,90.6598,79.57924704075093,0.12222123762956763,
"60,61,62,63",4,40,49.2177,40.05266341825682,0.18621423962808462,
"60,61,62,63,64,65",6,40,37.7437,26.835329065748322,0.2890117008733027,
"60,61,62,63,64,65,66,67",8,40,38.8865,20.071740168159767,0.4838378314283937,
"60,62",2,40,89.5047,80.59778242435144,0.09951340628646946,
"61,63",2,40,82.1405,79.61885254832268,0.030699197736528565,
"60,61",2,50,87.0193,78.40561157483278,0.09898595397994728,
"60,61,62,63",4,50,51.3744,39.55130132047105,0.23013599535038762,
"60,61,62,63,64,65",6,50,38.2016,26.285252296453898,0.3119332096966122,
"60,61,62,63,64,65,66,67",8,50,31.8804,19.728028754130953,0.38118628517424646,
"60,62",2,50,81.4154,78.88926052587391,0.031027784351929696,
"61,63",2,50,91.0356,79.31710177734492,0.12872434764702034,
"60,61",2,60,91.8081,81.33701067773168,0.11405409024114771,
"60,61,62,63",4,60,51.4198,40.503124800186434,0.21230489422000023,
"60,61,62,63,64,65",6,60,36.9145,26.96340480099518,0.26957144750720774,
"60,61,62,63,64,65,66,67",8,60,35.1541,20.162260756727967,0.42646061891136544,
"60,62",2,60,86.3118,80.36571863685566,0.06889071208275513,
"61,63",2,60,89.1878,81.65707291759152,0.08443674002956095,
"60,61",2,70,85.1363,81.85410919215633,0.038552189933596784,
"60,61,62,63",4,70,47.2307,40.99038694485201,0.13212408571433382,
"60,61,62,63,64,65",6,70,36.417,27.079872246210563,0.25639475392782046,
"60,61,62,63,64,65,66,67",8,70,31.783,20.26991310563896,0.3622404082170041,
"60,62",2,70,86.382,83.42532158932221,0.03422794576043384,
"61,63",2,70,85.9322,80.58540072220084,0.062221138034393976,
"60,61",2,80,84.3778,80.79334191041099,0.04248105650525383,
"60,61,62,63",4,80,49.8486,39.7577564957095,0.20242982760379424,
"60,61,62,63,64,65",6,80,36.9135,26.535997825227362,0.28113026873021085,
"60,61,62,63,64,65,66,67",8,80,32.4744,19.971017070862555,0.385022754204464,
"60,62",2,80,85.1888,79.95026167268952,0.06149327525813815,
"61,63",2,80,90.7623,79.08546683901633,0.12865290060943435,
"60,61",2,90,91.8985,80.09635118518449,0.12842591353303384,
"60,61,62,63",4,90,47.3507,40.04438271338092,0.15430220221916643,
"60,61,62,63,64,65",6,90,36.1339,26.52175701280813,0.2660145455428799,
"60,61,62,63,64,65,66,67",8,90,32.3058,19.93080182109074,0.3830580941784218,
"60,62",2,90,85.9401,81.5346362936754,0.05126202676427647,
"61,63",2,90,87.9325,78.69328091286835,0.10507172077595495,
"60,61",2,100,86.9875,78.6636062239398,0.09569068861687258,
"60,61,62,63",4,100,53.7504,39.87888047016567,0.2580728614081817,
"60,61,62,63,64,65",6,100,43.3606,26.800969709605845,0.3819050080117469,
"60,61,62,63,64,65,66,67",8,100,37.0624,20.154727236143994,0.45619476245078583,
"60,62",2,100,92.7002,79.51123608788059,0.14227546339834657,
"61,63",2,100,87.602,80.00581924952287,0.08671241239329161,
