scenario,n_cores,cpus,loads,baseline_runs,schedule_runs,baseline_tok_s,schedule_tok_s,speedup_vs_baseline,baseline_decode_ms,schedule_decode_ms,mode,p,major_cpus,minor_cpus,clipped_layers,max_rate,estimated_total_ms,estimated_speedup
4c_front_hot,4,"60,61,62,63","90,70,20,0",2,2,3.530115,20.48685,5.803451162355901,310.7095,48.83305,local,3,"61,62,63",60,14,0.4,57.269466,1.0321396396467186
4c_high,4,"60,61,62,63","70,80,90,100",2,2,21.789,18.7242,0.8593418697507916,45.90219999999999,53.41125,local,3,"61,62,63",60,14,0.7,57.23219,1.197121934351979
4c_mixed,4,"60,61,62,63","0,30,60,90",2,2,21.725299999999997,21.725299999999997,1.0,46.0383,46.0383,local,4,"60,61,62,63",,0,0.0,56.534576,1.0000000176882904
4c_ramp_light,4,"60,61,62,63","0,10,20,30",2,2,22.01525,22.01525,1.0,45.42345,45.42345,local,4,"60,61,62,63",,0,0.0,48.91789,0.9999999591151622
6c_front_hot,6,"60,61,62,63,64,65","100,80,60,30,10,0",2,0,13.830017,,,1336.4279999999999,,edge_end,3,"62,63,65","60,61,64",11,0.9,38.515019,4.182825224622114
6c_high,6,"60,61,62,63,64,65","50,60,70,80,90,100",2,2,26.88765,22.80125,0.8480194438710709,37.25555,43.857299999999995,local,5,"60,61,62,63,64",65,14,0.3,37.452892,2.176192054808478
6c_mixed,6,"60,61,62,63,64,65","0,20,40,60,80,100",2,2,23.112000000000002,23.8429,1.0316242644513671,43.34925,41.9571,local,4,"60,61,62,63","64,65",14,0.9,37.38389,10.579452298837815
6c_ramp_light,6,"60,61,62,63,64,65","0,10,20,30,40,50",2,2,28.76495,22.88305,0.7955185042908123,34.76565,43.70455,local,5,"60,61,62,63,65",64,14,0.3,37.492242,1.0389425364319371
8c_front_hot,8,"60,61,62,63,64,65,66,67","100,90,80,70,30,20,10,0",2,0,26.4947,,,37.787800000000004,,edge_end,4,"61,62,63,66","60,64,65,67",1,0.9,33.263211,2.4227970053763
8c_high,8,"60,61,62,63,64,65,66,67","30,40,50,60,70,80,90,100",2,2,30.8872,26.2273,0.8491316791421689,32.49695,38.13565,local,6,"61,62,63,64,65,66","60,67",14,0.9,32.24377,1.397283444212634
8c_mixed,8,"60,61,62,63,64,65,66,67","0,20,40,60,80,100,30,50",2,2,28.304299999999998,20.266,0.7160042820348852,35.469849999999994,49.767250000000004,local,6,"60,61,62,63,66,67","64,65",14,0.9,32.15121,3.8918693262244255
8c_ramp_light,8,"60,61,62,63,64,65,66,67","0,10,20,30,40,50,60,70",2,2,14.7837595,0.45679499999999995,0.030898432837736568,666.2778999999999,2834.98,local,7,"60,61,62,63,64,65,66",67,14,0.6,32.257149999999996,1.311716968176048
