scenario,status,feasible,mode,p,major_cpus,minor_cpus,split_m,offloaded_layers,clipped_layers,max_rate,loss,main_ms,total_ms,full_local_ms,estimated_speedup_vs_full_local,local_deadline_ms,request_deadline_ms
load_0,ok,True,local,8,"60,61,62,63,64,65,66,67",,27,0,0,0.0,0.0,32.035794,32.035794,32.0358,1.0000001872905038,32.356158,33.317232
load_10,ok,True,local,7,"60,61,62,63,65,66,67",64,27,0,14,0.4,2.3296,32.190362,32.190362,35.3874,1.0993166215403232,32.356158,33.317232
load_20,ok,True,local,7,"60,61,62,63,64,66,67",65,27,0,14,0.6,3.9801,32.175626,32.175626,40.4118,1.2559755636145198,32.356158,33.317232
load_30,ok,True,edge_end,4,"61,62,63,66","60,64,65,67",2,25,2,0.9,1.6443,2.5294939999999997,33.279494,69.6333,2.0923785680154876,32.356158,33.317232
load_40,ok,True,local,7,"60,61,62,63,64,66,67",65,27,0,14,0.9,8.49515,32.215773,32.215773,51.700301,1.6048133006151988,32.356158,33.317232
load_50,ok,True,local,8,"60,61,62,63,64,65,66,67",,27,0,0,0.0,0.0,31.880394,31.880394,31.8804,1.0000001882034457,32.356158,33.317232
load_60,ok,True,local,7,"60,61,62,63,64,66,67",65,27,0,14,0.5,2.7012,32.245332,32.245332,35.1541,1.0902074135878024,32.356158,33.317232
load_70,ok,True,local,8,"60,61,62,63,64,65,66,67",,27,0,0,0.0,0.0,31.782996,31.782996,31.783,1.0000001258534594,32.356158,33.317232
load_80,ok,True,local,7,"61,62,63,64,65,66,67",60,27,0,14,0.9,11.1411,32.200561,32.200561,32.4744,1.0085041686074974,32.356158,33.317232
load_90,ok,True,local,7,"60,61,62,63,64,66,67",65,27,0,14,0.4,1.47785,32.135378,32.135378,32.3058,1.0053032517619676,32.356158,33.317232
load_100,ok,True,local,7,"60,61,62,63,64,66,67",65,27,0,14,0.6,3.9801,32.208122,32.208122,37.0624,1.15071595916086,32.356158,33.317232
