cpu_load_percent,load_workers,policy,runs,decode_tok_s_mean,decode_tok_s_stdev,generation_decode_ms_mean,speedup_vs_same_load_baseline
0,0,alternate_0.75,3,34.1198,1.2411916693242853,29.334833333333336,1.092525824362316
0,0,baseline,3,31.2302,0.3660233735705963,32.023199999999996,1.0
0,4,alternate_0.75,3,33.95706666666667,1.362318282683356,29.481233333333336,1.0854752401187435
0,4,baseline,3,31.283133333333335,0.28033339674989277,31.96783333333333,1.0
100,4,alternate_0.75,3,0.16734433333333332,0.0016047006989882324,5976.066666666667,1.0002869160312338
100,4,baseline,3,0.16729633333333335,0.0003198770597172189,5977.433333333333,1.0
20,4,alternate_0.75,3,34.29816666666667,0.42194255928186947,29.159000000000002,1.1220835446212902
20,4,baseline,3,30.5665,0.8414804156960516,32.7319,1.0
50,4,alternate_0.75,3,23.60222333333333,17.749440428493326,126.8054,1.8677294664072488
50,4,baseline,3,12.636853333333335,15.578117333350438,193.89739999999998,1.0
80,4,alternate_0.75,3,0.16848666666666667,0.006384660862828442,5940.746666666666,0.8584214325139049
80,4,baseline,3,0.19627499999999998,0.05622574331211637,5345.886666666666,1.0
