cpu_load,policy,timeout_budget_ms,no_svd_ppl,ppl,ppl_stderr,delta_ppl_vs_no_svd,ppl_ratio_vs_no_svd,eval_tok_s,eval_ms_per_token,timed_out
0,baseline_no_svd,,287.6802,287.6802,232.09973,,,32.66,30.62,False
0,scheduled_timeout,0,287.6802,2280.0499,1730.63851,1992.3697,7.925640694076269,34.42,29.06,False
0,scheduled_timeout,2,287.6802,2280.0499,1730.63851,1992.3697,7.925640694076269,34.29,29.16,False
0,scheduled_timeout,4,287.6802,2280.0499,1730.63851,1992.3697,7.925640694076269,34.43,29.05,False
0,scheduled_timeout,8,287.6802,2280.0499,1730.63851,1992.3697,7.925640694076269,34.33,29.13,False
0,scheduled_timeout,16,287.6802,2280.0499,1730.63851,1992.3697,7.925640694076269,34.25,29.19,False
20,scheduled_timeout,0,287.6802,2280.0499,1730.63851,1992.3697,7.925640694076269,22.57,44.3,False
20,scheduled_timeout,2,287.6802,2280.0499,1730.63851,1992.3697,7.925640694076269,20.73,48.25,False
20,scheduled_timeout,4,287.6802,2280.0499,1730.63851,1992.3697,7.925640694076269,22.05,45.35,False
20,scheduled_timeout,8,287.6802,2280.0499,1730.63851,1992.3697,7.925640694076269,21.33,46.89,False
20,scheduled_timeout,16,287.6802,2280.0499,1730.63851,1992.3697,7.925640694076269,22.29,44.86,False
50,scheduled_timeout,0,287.6802,2280.0499,1730.63851,1992.3697,7.925640694076269,4.61,216.95,False
50,scheduled_timeout,2,287.6802,3738.824,2833.34513,3451.1438,12.99645926275079,8.78,113.94,False
50,scheduled_timeout,4,287.6802,2472.515,1851.27234,2184.8347999999996,8.594665187246115,8.12,123.14,False
50,scheduled_timeout,8,287.6802,2271.468,1713.39663,1983.7877999999998,7.895809304915666,9.74,102.62,False
50,scheduled_timeout,16,287.6802,2499.2155,1863.63234,2211.5352999999996,8.687478317937764,9.82,101.8,False
80,scheduled_timeout,0,287.6802,,,,,,,True
80,scheduled_timeout,2,287.6802,,,,,,,True
80,scheduled_timeout,4,287.6802,,,,,,,True
80,scheduled_timeout,8,287.6802,,,,,,,True
80,scheduled_timeout,16,287.6802,,,,,,,True
